SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
CPDRD-0101A,"Shock Proof Kid Case, iPad Mini 1/2/3, Red",Case,iPad,Mini 1/2/3,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,NA
CPDWH-0065A,"Smart, iPad 2/3/4, White",Case,iPad,2/3/4,Smart,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
CPDYW-0107A,"Smart, iPad Mini, Yellow",Case,iPad,Mini,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Yellow,NA,,,,,,NA
CPOBK-0129A,"MF040ZM/A, iPhone 5c, Black",Case,iPhone,5c,MF040ZM/A,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPOBK-0181A,"ULAK iPhone 6+, Black",Case,iPhone,6+,NA,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPOBU-0130A,"MF035ZM/A, iPhone 5c, Blue",Case,iPhone,5c,MF035ZM/A,NA,NA,NA,NA,NA,,,,NA,NA,Blue,NA,,,,,,NA
CPOBU-0183A,"ULAK iPhone 6+, Light Blue",Case,iPhone,6+,NA,NA,NA,NA,NA,NA,,,,NA,NA,Light Blue,NA,,,,,,NA
CPONA-0145A,"Otter Box 990581, iPhone 5s, Black",Case,iPhone,5s,990581,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPOPK-0132A,"MF036ZM/A, iPhone 5c, Pink",Case,iPhone,5c,MF036ZM/A,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPOPU-0186A,"ULAK iPhone 6+, Purple",Case,iPhone,6+,NA,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
CPOWH-0159A,"Insten iPhone 6, White",Case,iPhone,6,NA,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
DAD27-0001A,"MC914LL/A, Display Thunderbolt, 27""/Aluminum",Monitor,Display,Thunderbolt,MC914LL/A,NA,NA,NA,27,NA,,,,NA,NA,Aluminum,NA,Mid-2011,,,,27 Thunderbolt,Straight iMac Power Cord
DAU20-0002A,"MA876LL/A, iMac C2D 2/20""/4GB RAM/250GB HDD/",Desktop,iMac,Aluminum,MA876LL/A,C2D,Core 2 Duo,2,20,4GB,,,,250GB,HDD,Aluminum,NA,Mid-2007,"iMac7,1",Petra-694263706559 /Groupon-606682724151,"20"" iMac",MA876LL/A C2D/2/4GB/250GB,Straight iMac Power Cord
DAU20-0009A,"MA877LL/A, iMac C2D 2.4/20""/4GB RAM/320GB HDD/",Desktop,iMac,Aluminum,MA877LL/A,C2D,Core 2 Duo,2.4,20,4GB,,,,320GB,HDD,Aluminum,NA,Mid-2007,"iMac7,1",,"20"" iMac",MA877LL/A C2D/2.4/4GB/320GB,Straight iMac Power Cord
DAU20-0009B,"MA877LL/A, iMac C2D 2.4/20""/4GB RAM/320GB HDD/, B-Grade",Desktop,iMac,Aluminum,MA877LL/A,C2D,Core 2 Duo,2.4,20,4GB,,,,320GB,HDD,Aluminum,NA,Mid-2007,"iMac7,1",,"20"" iMac",MA877LL/A C2D/2.4/4GB/320GB,Straight iMac Power Cord
